sourcetype,kind,cim_field,fdr_field,events,detail
crowdstrike:events:sensor,LOOKUP,BlockingClassId_meaning,BlockingClassId,,LOOKUP-crowdstrike_ta_BlockingClassId via crowdstrike_ta_lookup_BlockingClassId (BlockingClassId_meaning)
crowdstrike:events:sensor,LOOKUP,BluetoothStatus_meaning,BluetoothStatus,,LOOKUP-crowdstrike_ta_BluetoothStatus via crowdstrike_ta_lookup_BluetoothStatus (BluetoothStatus_meaning)
crowdstrike:events:sensor,LOOKUP,BootTimeFunctionalityLevel_meaning,BootTimeFunctionalityLevel,,LOOKUP-crowdstrike_ta_BootTimeFunctionalityLevel via crowdstrike_ta_lookup_BootTimeFunctionalityLevel (BootTimeFunctionalityLevel_meaning)
crowdstrike:events:sensor,LOOKUP,BuildType_meaning,BuildType,,LOOKUP-crowdstrike_ta_BuildType via crowdstrike_ta_lookup_BuildType (BuildType_meaning)
crowdstrike:events:sensor,LOOKUP,CSAStatus_meaning,CSAStatus,,LOOKUP-crowdstrike_ta_CSAStatus via crowdstrike_ta_lookup_CSAStatus (CSAStatus_meaning)
crowdstrike:events:sensor,LOOKUP,CallStackModuleNamesVersion_meaning,CallStackModuleNamesVersion,,LOOKUP-crowdstrike_ta_CallStackModuleNamesVersion via crowdstrike_ta_lookup_CallStackModuleNamesVersion (CallStackModuleNamesVersion_meaning)
crowdstrike:events:sensor,LOOKUP,ChannelId_meaning,ChannelId,,LOOKUP-crowdstrike_ta_ChannelId via crowdstrike_ta_lookup_ChannelId (ChannelId_meaning)
crowdstrike:events:sensor,LOOKUP,ClientId_meaning,ClientId,,LOOKUP-crowdstrike_ta_ClientId via crowdstrike_ta_lookup_ClientId (ClientId_meaning)
crowdstrike:events:sensor,LOOKUP,CloudErrorCode_meaning,CloudErrorCode,,LOOKUP-crowdstrike_ta_CloudErrorCode via crowdstrike_ta_lookup_CloudErrorCode (CloudErrorCode_meaning)
crowdstrike:events:sensor,LOOKUP,CloudPlatform_meaning,CloudPlatform,,LOOKUP-crowdstrike_ta_CloudPlatform via crowdstrike_ta_lookup_CloudPlatform (CloudPlatform_meaning)
crowdstrike:events:sensor,LOOKUP,CodeSigningFlags_meaning,CodeSigningFlags,,LOOKUP-crowdstrike_ta_CodeSigningFlags via crowdstrike_ta_bitmask_lookup_CodeSigningFlags (result)
crowdstrike:events:sensor,LOOKUP,ConfigIDPlatform_meaning,ConfigIDPlatform,,LOOKUP-crowdstrike_ta_ConfigIDPlatform via crowdstrike_ta_bitmask_lookup_ConfigIDPlatform (result)
crowdstrike:events:sensor,LOOKUP,ConfigurationDescriptorAttributes_meaning,ConfigurationDescriptorAttributes,,LOOKUP-crowdstrike_ta_ConfigurationDescriptorAttributes via crowdstrike_ta_bitmask_lookup_ConfigurationDescriptorAttributes (result)
crowdstrike:events:sensor,LOOKUP,ConnectType_meaning,ConnectType,,LOOKUP-crowdstrike_ta_ConnectType via crowdstrike_ta_lookup_ConnectType (ConnectType_meaning)
crowdstrike:events:sensor,LOOKUP,ConnectionCipher_meaning,ConnectionCipher,,LOOKUP-crowdstrike_ta_ConnectionCipher via crowdstrike_ta_lookup_ConnectionCipher (ConnectionCipher_meaning)
crowdstrike:events:sensor,LOOKUP,ConnectionDirection_meaning,ConnectionDirection,,LOOKUP-crowdstrike_ta_ConnectionDirection via crowdstrike_ta_lookup_ConnectionDirection (ConnectionDirection_meaning)
crowdstrike:events:sensor,LOOKUP,ConnectionExchange_meaning,ConnectionExchange,,LOOKUP-crowdstrike_ta_ConnectionExchange via crowdstrike_ta_lookup_ConnectionExchange (ConnectionExchange_meaning)
crowdstrike:events:sensor,LOOKUP,ConnectionFlags_meaning,ConnectionFlags,,LOOKUP-crowdstrike_ta_ConnectionFlags via crowdstrike_ta_bitmask_lookup_ConnectionFlags (result)
crowdstrike:events:sensor,LOOKUP,ConnectionHash_meaning,ConnectionHash,,LOOKUP-crowdstrike_ta_ConnectionHash via crowdstrike_ta_lookup_ConnectionHash (ConnectionHash_meaning)
crowdstrike:events:sensor,LOOKUP,ConnectionProtocol_meaning,ConnectionProtocol,,LOOKUP-crowdstrike_ta_ConnectionProtocol via crowdstrike_ta_lookup_ConnectionProtocol (ConnectionProtocol_meaning)
crowdstrike:events:sensor,LOOKUP,ContainerizationErrorCode_meaning,ContainerizationErrorCode,,LOOKUP-crowdstrike_ta_ContainerizationErrorCode via crowdstrike_ta_lookup_ContainerizationErrorCode (ContainerizationErrorCode_meaning)
crowdstrike:events:sensor,LOOKUP,ControlStatus_meaning,ControlStatus,,LOOKUP-crowdstrike_ta_ControlStatus via crowdstrike_ta_lookup_ControlStatus (ControlStatus_meaning)
